,corporation,corp,ltd,inc,foundation,author,group,all rights reserved,this file is,enterprise,incorporated,co,llc,detected_year,detected_copyright detected_year,detected_copyright detected_year detected_year,detected_copyright detected_copyright detected_year,detected_copyright detected_copyright detected_year detected_year,gmbh,by,detected_copyright detected_copyright detected_org detected_year,detected_copyright detected_org detected_year,detected_copyright detected_copyright detected_person detected_year,detected_copyright detected_person detected_year,the,or its affiliates,original author or authors,detected_other_words,detected_copyright detected_org,detected_copyright detected_copyright detected_org,detected_copyright detected_person,detected_copyright detected_copyright detected_person,word_between_copyright,detected_copyright the,score
△ Whether that copyright is current and who owns the copyright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42367069824470716,0.0,0.0,0.2275716912364691,0.0,0.0,0.0,0.0,0.8767635170310267,0.0,1
Copyright (C) 2014 Intel Corporation. All rights reserved.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757586086271129,0.0,0.0,0.0,0.0,0.0,0.310308691945775,0.346596713997726,0.0,0.3927806736457802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529959168609105,0.0,0.0,0.0,0.0,0.0,0.0,0
copyright owners and users behave identically. Many depart from the ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8809555673738445,0.0,0.0,0.47319899441252794,0.0,0.0,0.0,0.0,0.0,0.0,1
(C) Copyright IBM Corp. 2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13994650733566272,0.0,0.0,0.0,0.0,0.0,0.0,0.5368152613499385,0.4861313185850322,0.0,0.0,0.0,0.0,0.0,0.0,0.44177256498697287,0.5106443891613374,0.0,0.0,0.0,0.0,0
"among publishers, copyright historians tell us, was actually the earliest ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8809555673738445,0.0,0.0,0.47319899441252794,0.0,0.0,0.0,0.0,0.0,0.0,1
"Copyright 1987, 1988 by the Student Information Processing Board of the Massachusetts Institute of Technology",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5510631718325163,0.30775271450612507,0.4260398091016519,0.0,0.0,0.0,0.6135604466000313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20892895154237523,0.0,0.0,0.0,0.0,0.0,0.0,0
"Attorney.52 Of those referrals, the overwhelming majority (138 referrals) involved copyright infringement under section 506(a).53 The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9657754279259684,0.0,0.0,0.2593796885155286,0.0,0.0,0.0,0.0,0.0,0.0,1
Copyright (C) 1996 1997 1999 Free Software Foundation Inc. This file is part of the GNU C Library. Contributed by Ulrich Drepper <drepper@gnu.ai.mit.edu> ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999459729654395,0.0,0.0,0.0,0.0,0.38230606205277834,0.2135067890268097,0.29556974593989577,0.24195653632898548,0.3165718370699229,0.0,0.42566422537540544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14494672987738225,0.0,0.0,0.0,0.0,0.0,0.0,0
"copyrighted work in litigation is considered fair use,237 using creative ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"“defer” to Congress activates copyright’s communications regime, and ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
